,model,weight_g,weight_oz,OS,internal_memory,audio_jack,GPS,battery_mah,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,thickness_mm,GPU_new,brand_idx,GPS_new,primary_cam_MP,secondary_cam_MP,gprs,edge,sim,ppi,memory_card,battery_removable,indian_price,ram
2695,Echo,193.0,6.81,1,1.0,1,1,1370.0,3.5,53.7,115.0,56.5,17.2,1,31,1,5.0,0.0,0.0,0.0,1,410,128,1,25914.000000000004,6
2705,A77,140.0,4.94,1,8.0,1,1,2000.0,4.5,61.5,135.0,67.2,9.5,3,32,1,5.0,5.0,1.0,1.0,2,390,128,1,451569.96,6
2742,V5,153.2,5.4,1,16.0,1,1,3000.0,5.5,71.6,151.9,76.7,8.3,3,32,1,13.0,8.0,1.0,1.0,2,390,128,1,11106.000000000002,6
2743,X3,142.0,5.01,1,8.0,1,1,2500.0,5.0,66.5,144.0,72.0,8.5,0,32,1,8.0,5.0,1.0,1.0,2,210,128,1,7404.000000000001,6
2746,X10,133.0,4.69,1,16.0,1,1,2900.0,5.0,68.6,142.0,70.8,7.9,3,32,1,13.0,5.0,1.0,1.0,2,390,128,1,11106.000000000002,4
2752,Pixel V2,128.0,4.52,1,16.0,1,1,2500.0,5.0,68.7,141.6,70.8,7.6,3,32,1,13.0,8.0,1.0,1.0,2,390,128,1,8884.800000000001,8
2755,Pixel V1,135.0,4.76,1,32.0,1,1,2560.0,5.5,71.9,152.1,76.3,8.5,3,32,1,8.0,5.0,1.0,1.0,2,410,128,1,11846.400000000001,8
2759,Iris X1 Grand,152.0,5.36,1,8.0,1,0,2200.0,5.0,66.4,144.0,72.0,9.2,3,32,1,8.0,2.0,1.0,1.0,2,410,128,1,8144.400000000001,6
2762,Iris X8,160.0,5.64,1,8.0,1,1,2500.0,5.0,67.7,143.4,71.0,8.6,0,32,1,8.0,3.0,1.0,1.0,2,390,128,0,9625.2,8
2769,Iris Fuel 60,174.0,6.14,1,8.0,1,1,4000.0,5.0,65.4,144.8,72.8,10.2,0,32,1,10.0,2.0,1.0,1.0,2,390,128,1,9625.2,8
2777,Iris Fuel 50,160.0,5.64,1,8.0,1,1,3000.0,5.0,70.5,144.8,72.9,9.5,0,32,1,8.0,2.0,1.0,1.0,2,210,128,1,7404.000000000001,8
2781,Iris X5,134.0,4.73,1,8.0,1,1,2100.0,5.0,67.2,143.5,71.5,7.7,4,32,1,8.0,5.0,1.0,1.0,2,390,128,1,8144.400000000001,6
2782,Iris Pro 30+,116.0,4.09,1,16.0,1,1,2000.0,4.7,65.4,138.0,67.5,7.9,5,32,1,13.0,3.0,1.0,1.0,2,390,128,1,11106.000000000002,6
